Layer 0, Pruned params: 8993327, original params: 12582912, Pct : 0.71
Layer 1, Pruned params: 9000257, original params: 12582912, Pct : 0.72
Layer 2, Pruned params: 8975232, original params: 12582912, Pct : 0.71
Layer 3, Pruned params: 9037217, original params: 12582912, Pct : 0.72
Layer 4, Pruned params: 9026822, original params: 12582912, Pct : 0.72
Layer 5, Pruned params: 8994867, original params: 12582912, Pct : 0.71
Layer 6, Pruned params: 9058007, original params: 12582912, Pct : 0.72
Layer 7, Pruned params: 9070712, original params: 12582912, Pct : 0.72
Layer 8, Pruned params: 9022202, original params: 12582912, Pct : 0.72
Layer 9, Pruned params: 9025282, original params: 12582912, Pct : 0.72
Layer 10, Pruned params: 9013732, original params: 12582912, Pct : 0.72
Layer 11, Pruned params: 8997177, original params: 12582912, Pct : 0.72
Layer 12, Pruned params: 9007957, original params: 12582912, Pct : 0.72
Layer 13, Pruned params: 9000642, original params: 12582912, Pct : 0.72
Layer 14, Pruned params: 9008342, original params: 12582912, Pct : 0.72
Layer 15, Pruned params: 9035677, original params: 12582912, Pct : 0.72
Layer 16, Pruned params: 9028362, original params: 12582912, Pct : 0.72
Layer 17, Pruned params: 9065707, original params: 12582912, Pct : 0.72
Layer 18, Pruned params: 9001412, original params: 12582912, Pct : 0.72
Layer 19, Pruned params: 8981392, original params: 12582912, Pct : 0.71
Layer 20, Pruned params: 9023742, original params: 12582912, Pct : 0.72
Layer 21, Pruned params: 9055312, original params: 12582912, Pct : 0.72
Layer 22, Pruned params: 8998332, original params: 12582912, Pct : 0.72
Layer 23, Pruned params: 9052617, original params: 12582912, Pct : 0.72
Layer 24, Pruned params: 9017967, original params: 12582912, Pct : 0.72
Layer 25, Pruned params: 9034522, original params: 12582912, Pct : 0.72
Layer 26, Pruned params: 9071482, original params: 12582912, Pct : 0.72
Layer 27, Pruned params: 9046842, original params: 12582912, Pct : 0.72
Layer 28, Pruned params: 9053387, original params: 12582912, Pct : 0.72
Layer 29, Pruned params: 9031442, original params: 12582912, Pct : 0.72
Layer 30, Pruned params: 9028747, original params: 12582912, Pct : 0.72
Layer 31, Pruned params: 9021047, original params: 12582912, Pct : 0.72
Total memory: 550.80 MB
